latitude,longitude
13.0700594,80.2707518
13.0701446,80.2703748
13.0704524,80.2693581
13.0698752,80.2714408
13.0704281,80.2716157
13.0711212,80.2718338
13.0710694,80.2704816
13.0715542,80.2704933
13.0719582,80.2704944
13.0728929,80.2706803
13.0750155,80.2712845
13.0730994,80.2696027
13.0776486,80.2709239
13.0729626,80.2702102
13.0732437,80.2691181
13.0733699,80.2685818
13.0736165,80.2675351
13.0736539,80.2669532
13.0712262,80.2690665
13.0726495,80.2677679
13.0728917,80.2675478
13.0750104,80.2662967
13.0755166,80.2662674
13.0761989,80.26636
13.0769946,80.2665597
13.0774536,80.2666967
13.0782594,80.2670779
13.0776982,80.2724187
13.0757575,80.2731806
13.0699358,80.2728892
13.0701676,80.2724158
13.0705685,80.2712631
13.0707953,80.2709366
13.0711228,80.2696641
13.0747455,80.270067
13.0748603,80.2695276
13.0749793,80.269017
13.0752581,80.2679937
13.0754276,80.2670819
13.0773412,80.2723808
13.0757817,80.2721789
13.0747475,80.2721639
13.0780523,80.2719975
13.0774426,80.2718366
13.0778198,80.2703422
13.0788138,80.270501
13.0771032,80.2701881
13.0759678,80.2698756
13.0753584,80.2697186
13.0787642,80.2700272
13.079308,80.268948
13.0789065,80.268027
13.0765348,80.2694706
13.0755097,80.2691808
13.0725444,80.2689746
13.0745832,80.2689215
13.0748011,80.2678427
13.0740573,80.267641
13.0716194,80.2696983
13.0712796,80.2710616
13.0713327,80.2704994
13.0732082,80.2719116
13.0748757,80.2718636
13.0749202,80.2669615
13.07367,80.2671617
13.0768966,80.267347
13.0767684,80.2683332
13.0770183,80.2696031
13.0772497,80.2679483
13.0781324,80.2680845
13.0768349,80.2678596
13.075789,80.2681402
13.0762806,80.2682564
13.0760349,80.2693278
13.076095,80.2693448
13.0758365,80.2703688
13.0781955,80.2715969
13.0775605,80.2714105
13.0751091,80.2707302
13.0784807,80.271092
13.0743064,80.2710621
13.0745996,80.2700276
13.0744823,80.270539
13.072997,80.2700426
13.0701775,80.2702215
13.0729316,80.2704441
13.0715957,80.2701329
13.0709961,80.2710034
13.0708608,80.2717555
13.0709273,80.2713345
13.0728073,80.2710813
13.0718888,80.2712121
13.0719537,80.2692633
13.0742533,80.2685284
13.0744101,80.2677218
13.0776619,80.268028
13.0778107,80.2672152
13.0784735,80.268903
13.0780731,80.2688849
13.0783847,80.2699546
13.0752562,80.2652981
13.0750622,80.2653177
13.0734551,80.2659333
13.0715139,80.2677162
13.0690899,80.2686351
13.0676957,80.2674752
13.0673395,80.2651718
13.0673117,80.2647184
13.0672373,80.2639826
13.0707626,80.2610716
13.0665507,80.2604205
13.0680302,80.2554184
13.0687966,80.2560539
13.069422,80.2569186
13.0749597,80.2615245
13.0710289,80.2610926
13.0709215,80.2639423
13.0705409,80.2638988
13.0484677,80.2536651
13.0486658,80.2522054
13.0489283,80.2515595
13.0492929,80.2503621
13.049137,80.2507883
13.049041,80.2515748
13.0486555,80.2514056
13.0487396,80.2507266
13.0487707,80.2502461
13.0483841,80.2507282
13.0481775,80.2502218
13.0482649,80.2495635
13.0471087,80.252702
13.0465939,80.2524105
13.0461087,80.25209
13.0452435,80.2503778
13.0479885,80.2511908
13.0692678,80.2400022
13.0692939,80.2392957
13.0693303,80.2382593
13.0706111,80.2320937
13.0721938,80.2318417
13.0740914,80.2319008
13.0753892,80.2320582
13.0705547,80.2318935
13.0705611,80.2311891
13.0705741,80.2308653
13.0706051,80.2305349
13.0703508,80.2324233
13.0687696,80.2318687
13.0735611,80.2457538
13.0723316,80.245963
13.071631,80.242489
13.0713642,80.241748
13.0736932,80.2457433
13.0734952,80.2433882
13.073515,80.2429518
13.0717302,80.2429254
13.0725489,80.2429216
13.0725555,80.2424982
13.0657569,80.2435436
13.0629321,80.2361806
13.0628176,80.2358816
13.0644817,80.2413176
13.0653432,80.2413437
13.0343838,80.2375933
13.0323428,80.238891
13.031443,80.234078
13.0303179,80.2291536
13.0303505,80.2286202
13.0304771,80.2274518
13.0351072,80.2298327
13.0351615,80.2295959
13.0352279,80.2291963
13.0368214,80.2361488
13.0319889,80.2370632
13.0331386,80.2369969
13.0341555,80.2369641
13.0332055,80.2383291
13.0330878,80.2341098
13.0337707,80.2341153
13.0336507,80.2369846
13.0336945,80.2330488
13.031206,80.2329217
13.0335202,80.233041
13.0317483,80.2329544
13.0323349,80.2329955
13.033015,80.2330304
13.0346618,80.2331176
13.0341001,80.2330687
13.0324669,80.2370398
13.0324524,80.2341171
13.0802661,80.2407551
