latitude,longitude,Cluster,MallScore,HospitalScore,BusTerminalScore,RailwayScore,MetroScore,ITParkScore,CommercialScore,CompanyScore,TrafficScore,RoadConnectivity,DistanceScore,RecommendationScore,Recommendation,Rank
13.0717837,80.2196158,0.0,0.7848012855469968,0.9234881841184527,0.4707668815031277,0.5028086917898745,0.5028086917898745,0.9596062713719051,0.8111601282964569,0.4141694631395415,0.32187184845666034,0.7083333333333334,0.5381521714084871,0.7895634754456561,"Recommended because it has excellent road connectivity, near an IT park, close to a shopping mall, good access to hospitals and located in a commercial area.",11
12.9871937,80.1759219,4.0,0.18367454089015953,0.4758158045831143,0.45605653303126414,0.9255109179187911,0.9284425102400985,0.9226518652614877,0.9450200103569173,0.24822077660092473,0.3189691526151158,1.0,0.5574251752088242,0.7616262154995493,"Recommended because it has excellent road connectivity, near an IT park, close to a metro station, near a railway station and located in a commercial area.",12
12.9877944,80.2513358,4.0,0.2131778588124679,0.6075631192290882,0.5336478207915452,0.8811802072955638,0.8811802072955638,0.8268939386349998,0.805941984976157,0.6374211749320653,0.3289846396218402,1.0,0.4594052010612195,0.7582834385758631,"Recommended because it has excellent road connectivity, near an IT park, close to a metro station, near a railway station, good access to hospitals, located in a commercial area and near corporate offices.",13
13.0067745,80.2476214,4.0,0.2181818255732738,0.7685929549931604,0.323337959923779,0.8643369369465721,0.8643369369465721,0.7576429282199595,0.787649611697352,0.4159130687572928,0.32533901583565195,1.0,0.5434959324181907,0.756547337723828,"Recommended because it has excellent road connectivity, near an IT park, close to a metro station, near a railway station, good access to hospitals and located in a commercial area.",14
13.1084535,80.1802735,3.0,0.4606053418241627,0.3387212419085907,0.6448705830624981,0.5989706890942155,0.5989706890942155,0.5166849417750059,0.3081531888281913,0.4973000874554465,0.3279802542918055,0.875,0.946063735314109,0.6983222700386206,Recommended because it has excellent road connectivity and well separated from existing charging stations.,15
13.1128184,80.150181,3.0,0.18753985258813727,0.7438292339704631,0.5689548069907971,0.7577340255893997,0.7577340255893997,0.7530751289956078,0.7389206978858135,0.2947893373241802,0.31850891286038635,0.875,0.5686565434237192,0.6963051873082761,"Recommended because it has excellent road connectivity, near an IT park, close to a metro station, near a railway station, good access to hospitals and located in a commercial area.",16
13.1439001,80.2965635,2.0,0.12166541173926164,0.6841251126903743,0.37668066229858044,0.9184047007123615,0.9184047007123615,0.7728939811216944,0.3737660224079017,0.7728939811216944,0.3042877863047334,0.8333333333333334,0.5231470380851297,0.695726090385096,"Recommended because it has excellent road connectivity, near an IT park, close to a metro station, near a railway station, good access to hospitals and near corporate offices.",17
13.0923103,80.218188,3.0,0.32047654132032855,0.9545541210632645,0.510476250132056,0.5362908094003632,0.5362908094003632,0.6411317668131963,0.6889241134294501,0.5584984617658066,0.327805943971047,0.875,0.5846386093084823,0.6908861871966633,"Recommended because it has excellent road connectivity, near an IT park, good access to hospitals and located in a commercial area.",18
13.109721,80.2418102,0.0,0.18386404373422788,0.9428136327267311,0.5852873028997739,0.735677757990075,0.735677757990075,0.6693701949818799,0.7919263402606403,0.29292971730845613,0.320591125965989,0.7083333333333334,0.5494819395988655,0.6775526193748683,"Recommended because it has excellent road connectivity, near an IT park, close to a metro station, near a railway station, good access to hospitals and located in a commercial area.",19
12.9745312,80.1921479,4.0,0.24552266348889049,0.6625696228987447,0.46081538681575307,0.49682586058812067,0.49682586058812067,0.7697149866190995,0.9151704714724259,0.5333766127436619,0.3238313117247486,1.0,0.5956190441785989,0.6697896615644497,"Recommended because it has excellent road connectivity, near an IT park, good access to hospitals and located in a commercial area.",20
13.0798076,80.1836874,3.0,0.4187054651347605,0.7466726964526442,0.4800385990589589,0.4167905768236677,0.4167905768236677,0.6840498379558619,0.5564363881187542,0.6840498379558619,0.3247681922843636,0.875,0.681133296775486,0.669266824206343,"Recommended because it has excellent road connectivity, near an IT park, good access to hospitals, near corporate offices and well separated from existing charging stations.",21
13.1723891,80.3054881,2.0,0.0867659120520562,0.7424371888818628,0.952647724150629,0.9351221810062739,0.9351221810062739,0.5731791021845315,0.16702868905145662,0.23917776764728094,0.3252429791743971,0.8333333333333334,0.5401120843316061,0.6581033968221593,"Recommended because it has excellent road connectivity, close to a metro station, near a railway station and good access to hospitals.",22
13.0382749,80.1640131,4.0,0.8057807123886438,0.8160375913011787,0.4685927931981001,0.546390724348368,0.546390724348368,0.6798945179204617,0.3151067642795432,0.33465732669829346,0.3238930920129804,1.0,0.32068238875410604,0.6569002431906811,"Recommended because it has excellent road connectivity, near an IT park, close to a shopping mall and good access to hospitals.",23
13.0561236,80.2347301,0.0,0.40504363118675457,0.6927000118329408,0.3114569750235674,0.6280596644699932,0.6280596644699932,0.5434492044148881,0.9128798552372199,0.49664944718847853,0.3226344295741243,0.7083333333333334,0.6422610603921888,0.6557027608344072,"Recommended because it has excellent road connectivity, close to a metro station, near a railway station, good access to hospitals, located in a commercial area and well separated from existing charging stations.",24
13.1199132,80.1992866,3.0,0.29876892530530935,0.8251147129028589,0.46204825382163306,0.3984049710151927,0.3984049710151927,0.6130550203855564,0.5300904815401923,0.41675032865953704,0.3272326893212588,0.875,0.795223600087587,0.6458696725951231,"Recommended because it has excellent road connectivity, near an IT park, good access to hospitals and well separated from existing charging stations.",25
13.0245122,80.1830853,4.0,0.2662894306804466,0.8196306856963096,0.39688286866584527,0.2806636787834443,0.2806636787834443,0.836871652912566,0.6495010374589902,0.7029306183953978,0.3221884815687196,1.0,0.6126354486565282,0.6321135205138061,"Recommended because it has excellent road connectivity, near an IT park, good access to hospitals, located in a commercial area, near corporate offices and well separated from existing charging stations.",26
13.1446092,80.2196011,3.0,0.14618319694704063,0.6457600094709816,0.8206199040561064,0.9289084069197479,0.9289084069197479,0.3711961532775193,0.9432538447828931,0.16898402172432717,0.315162193652687,0.875,0.3989811959524572,0.6242899581280762,"Recommended because it has excellent road connectivity, close to a metro station, near a railway station, good access to hospitals and located in a commercial area.",27
12.9673501,80.245815,4.0,0.3277113233070517,0.8270961723184863,0.3231610099998987,0.42804943671622736,0.42804943671622736,0.8071444269400122,0.859471902023232,0.680712843588517,0.31287414056745755,1.0,0.3752725231421665,0.6202432093812521,"Recommended because it has excellent road connectivity, near an IT park, good access to hospitals, located in a commercial area and near corporate offices.",28
13.1426308,80.2492086,2.0,0.12403472597071932,0.8960385083014305,0.9902204519826593,0.46503696931572197,0.46503696931572197,0.7703416189861675,0.2877643995986138,0.155786280419644,0.32796516216831534,0.8333333333333334,0.610264419829728,0.6017313856515379,"Recommended because it has excellent road connectivity, near an IT park, good access to hospitals and well separated from existing charging stations.",29
12.948437,80.2097603,1.0,0.2591587593523714,0.9001762939456005,0.33195429730893594,0.2958408305170037,0.2958408305170037,0.9259331405620881,0.9183178783111239,0.9259331405620881,0.3289846396218402,0.6111111111111112,0.5154116865575216,0.6009993515938424,"Recommended because it has near an IT park, good access to hospitals, located in a commercial area and near corporate offices.",30
13.0582125,80.1946301,3.0,0.3565207241271933,0.8860450087493175,0.6236318849968756,0.3953014219430324,0.3953014219430324,0.802146812323345,0.4898931755823911,0.5193021803079632,0.31390945583995966,0.875,0.4055963356708513,0.5895135562603971,"Recommended because it has excellent road connectivity, near an IT park and good access to hospitals.",31
13.0973747,80.2592517,0.0,0.31997483379621294,0.9084429412851144,0.36741631534056557,0.4286735997050867,0.4286735997050867,0.5128516519457968,0.4983790846045608,0.33544355866579767,0.30770509695744214,0.7083333333333334,0.7498730213509956,0.5859954668323929,"Recommended because it has excellent road connectivity, good access to hospitals and well separated from existing charging stations.",32
13.0240343,80.2739707,0.0,0.32297079743037754,0.5681207531474955,0.7614830364694306,0.4648272523658373,0.4648272523658373,0.868027069928367,0.7824375865982108,0.6439867511082745,0.32898463962189833,0.7083333333333334,0.35454459204786437,0.5622946494555799,"Recommended because it has excellent road connectivity, near an IT park, located in a commercial area and near corporate offices.",33
12.9290109,80.2312941,1.0,0.28561644161406935,0.7358151787114177,0.5414708544677053,0.24153952542240376,0.24153952542240376,0.7933686601783995,0.4540173166824384,0.3408241900256347,0.32720712830805143,0.6111111111111112,0.822801714973131,0.5553510531930642,"Recommended because it has near an IT park, good access to hospitals and well separated from existing charging stations.",34
13.1286691,80.278722,2.0,0.16432727243705209,0.5246110194868157,0.452357853147371,0.7301686278334825,0.7301686278334825,0.6098279085187448,0.4160271067830437,0.261178390076098,0.32787224708172097,0.8333333333333334,0.4781486740381601,0.5233465114146031,"Recommended because it has excellent road connectivity, near an IT park, close to a metro station and near a railway station.",35
13.0020684,80.267948,4.0,0.1790793933638685,0.5642334195339936,0.7673407857261675,0.3241285076032282,0.3241285076032282,0.8929729302141695,0.885618653501314,0.5262514773216829,0.30244781800592385,1.0,0.291491998539556,0.5129254827001856,"Recommended because it has excellent road connectivity, near an IT park and located in a commercial area.",36
13.1220699,80.2236992,3.0,0.18716737471617206,0.9889025119096355,0.6063695809690646,0.3936857075052724,0.3936857075052724,0.426406388084425,0.5792192210577827,0.2107887914237706,0.30877466200880377,0.875,0.5212393888524545,0.5118512631078928,Recommended because it has excellent road connectivity and good access to hospitals.,37
13.0924155,80.1599401,3.0,0.23491238709047815,0.4488532905377052,0.43265398768025115,0.2839180382775425,0.2839180382775425,0.8796933375018173,0.31701286276500745,0.4716601975262392,0.3127351218247479,0.875,0.6476894753421085,0.49519988848659446,"Recommended because it has excellent road connectivity, near an IT park and well separated from existing charging stations.",38
13.1616745,80.2439141,2.0,0.10056972120138293,0.8321356527754129,0.46586728899513125,0.5349039037542759,0.5349039037542759,0.296747541254511,0.23228336571988548,0.13722071940042999,0.318999733374491,0.8333333333333334,0.7170456991533198,0.4923285389700982,"Recommended because it has excellent road connectivity, good access to hospitals and well separated from existing charging stations.",39
12.9541515,80.2326996,1.0,0.5053486135301146,0.5683256604240591,0.2366021214618773,0.32570611451855763,0.32570611451855763,0.5547035395189968,0.5696412596578613,0.5547035395189968,0.30079204556867967,0.6111111111111112,0.5101732192938693,0.44461975920115016,Balanced location with good overall accessibility and infrastructure.,40
12.9719098,80.2639655,4.0,0.21972669950739881,0.6922153958053976,0.3659205796537082,0.3008049952982254,0.3008049952982254,0.754177207280883,0.6247045515360969,0.5882046459171976,0.31635370448474437,1.0,0.23119310216857702,0.4332188019870269,"Recommended because it has excellent road connectivity, near an IT park, good access to hospitals and located in a commercial area.",41
